Year AD,Year BS,Agegroup,Gender,Number of people
2000,2057,Need of ART 15+,Male,1305
2000,2057,Need of ART 15+,Female,444
2000,2057,Need for ART Children (0-14),Male,188
2000,2057,Need for ART Children (0-14),Female,179
2001,2058,Need of ART 15+,Male,1893
2001,2058,Need of ART 15+,Female,662
2001,2058,Need for ART Children (0-14),Male,251
2001,2058,Need for ART Children (0-14),Female,239
2002,2059,Need of ART 15+,Male,2681
2002,2059,Need of ART 15+,Female,961
2002,2059,Need for ART Children (0-14),Male,322
2002,2059,Need for ART Children (0-14),Female,306
2003,2060,Need of ART 15+,Male,3674
2003,2060,Need of ART 15+,Female,1347
2003,2060,Need for ART Children (0-14),Male,397
2003,2060,Need for ART Children (0-14),Female,377
2004,2061,Need of ART 15+,Male,4835
2004,2061,Need of ART 15+,Female,1811
2004,2061,Need for ART Children (0-14),Male,471
2004,2061,Need for ART Children (0-14),Female,447
2005,2062,Need of ART 15+,Male,6080
2005,2062,Need of ART 15+,Female,2325
2005,2062,Need for ART Children (0-14),Male,541
2005,2062,Need for ART Children (0-14),Female,513
2006,2063,Need of ART 15+,Male,7311
2006,2063,Need of ART 15+,Female,2855
2006,2063,Need for ART Children (0-14),Male,594
2006,2063,Need for ART Children (0-14),Female,564
2007,2064,Need of ART 15+,Male,8431
2007,2064,Need of ART 15+,Female,3360
2007,2064,Need for ART Children (0-14),Male,770
2007,2064,Need for ART Children (0-14),Female,731
2008,2065,Need of ART 15+,Male,9384
2008,2065,Need of ART 15+,Female,3818
2008,2065,Need for ART Children (0-14),Male,808
2008,2065,Need for ART Children (0-14),Female,767
2009,2066,Need of ART 15+,Male,10173
2009,2066,Need of ART 15+,Female,4227
2009,2066,Need for ART Children (0-14),Male,837
2009,2066,Need for ART Children (0-14),Female,794
2010,2067,Need of ART 15+,Male,10812
2010,2067,Need of ART 15+,Female,4587
2010,2067,Need for ART Children (0-14),Male,985
2010,2067,Need for ART Children (0-14),Female,935
2011,2068,Need of ART 15+,Male,17330
2011,2068,Need of ART 15+,Female,7839
2011,2068,Need for ART Children (0-14),Male,1087
2011,2068,Need for ART Children (0-14),Female,1032
2012,2069,Need of ART 15+,Male,17011
2012,2069,Need of ART 15+,Female,7823
2012,2069,Need for ART Children (0-14),Male,1048
2012,2069,Need for ART Children (0-14),Female,995
2013,2070,Need of ART 15+,Male,17162
2013,2070,Need of ART 15+,Female,8020
2013,2070,Need for ART Children (0-14),Male,1018
2013,2070,Need for ART Children (0-14),Female,967
2014,2071,Need of ART 15+,Male,17635
2014,2071,Need of ART 15+,Female,8365
2014,2071,Need for ART Children (0-14),Male,998
2014,2071,Need for ART Children (0-14),Female,948
2015,2072,Need of ART 15+,Male,18153
2015,2072,Need of ART 15+,Female,8742
2015,2072,Need for ART Children (0-14),Male,973
2015,2072,Need for ART Children (0-14),Female,924
